pair,version,omitted_season,n,wins,losses,win_pct,roi,units
CO005+NFL-H017,RAW,2007,21,18,3,0.8571428571428571,1.192380952380952,25.039999999999996
CO005+NFL-H017,RAW,2009,21,19,2,0.9047619047619048,1.3057142857142856,27.419999999999998
CO005+NFL-H017,RAW,2010,21,18,3,0.8571428571428571,1.175238095238095,24.679999999999996
CO005+NFL-H017,RAW,2011,21,18,3,0.8571428571428571,1.1809523809523808,24.799999999999997
CO005+NFL-H017,RAW,2012,21,18,3,0.8571428571428571,1.1785714285714284,24.749999999999996
CO005+NFL-H017,RAW,2013,21,18,3,0.8571428571428571,1.1852380952380952,24.889999999999997
CO005+NFL-H017,RAW,2016,19,16,3,0.8421052631578947,1.1305263157894736,21.479999999999997
CO005+NFL-H017,RAW,2018,21,18,3,0.8571428571428571,1.1814285714285713,24.809999999999995
CO005+NFL-H017,RAW,2021,19,16,3,0.8421052631578947,1.157894736842105,21.999999999999996
CO005+NFL-H017,RAW,2022,18,16,2,0.8888888888888888,1.2727777777777776,22.909999999999997
CO005+NFL-H017,RAW,2023,19,17,2,0.8947368421052632,1.2884210526315787,24.479999999999997
CO005+NFL-H017,RAW,2025,20,17,3,0.85,1.1679999999999997,23.359999999999996
CO017+NFL-H029,RAW,2010,17,14,3,0.8235294117647058,0.9917647058823529,16.86
CO017+NFL-H029,RAW,2011,17,14,3,0.8235294117647058,1.0211764705882354,17.36
CO017+NFL-H029,RAW,2012,17,14,3,0.8235294117647058,1.0129411764705882,17.22
CO017+NFL-H029,RAW,2013,17,14,3,0.8235294117647058,1.0211764705882354,17.36
CO017+NFL-H029,RAW,2015,17,14,3,0.8235294117647058,1.0088235294117647,17.15
CO017+NFL-H029,RAW,2017,16,13,3,0.8125,0.986875,15.79
CO017+NFL-H029,RAW,2018,17,15,2,0.8823529411764706,1.154705882352941,19.63
CO017+NFL-H029,RAW,2019,17,14,3,0.8235294117647058,1.0176470588235293,17.3
CO017+NFL-H029,RAW,2021,16,13,3,0.8125,0.96875,15.5
CO017+NFL-H029,RAW,2022,16,14,2,0.875,1.125,18.0
CO017+NFL-H029,RAW,2023,15,13,2,0.8666666666666667,1.1193333333333335,16.790000000000003
CO017+NFL-H029,RAW,2024,16,13,3,0.8125,0.9981249999999999,15.969999999999999
