pair,version,n,wins,losses,win_pct,roi,units,positive_seasons,active_seasons,positive_season_ratio,max_season_share,loo_min_roi,loo_all_profitable
CO005+NFL-H017,RAW,22,19,3,0.8636363636363636,1.2009090909090907,26.419999999999995,11,12,0.9166666666666666,0.18181818181818182,1.1305263157894736,True
CO005+NFL-H017,CO_VETO,18,16,2,0.8888888888888888,1.2499999999999998,22.499999999999996,9,10,0.9,0.2222222222222222,1.1706666666666667,True
CO017+NFL-H029,RAW,18,15,3,0.8333333333333334,1.035,18.63,11,12,0.9166666666666666,0.16666666666666666,0.96875,True
CO017+NFL-H029,CO_VETO,15,13,2,0.8666666666666667,1.0946666666666665,16.419999999999998,10,10,1.0,0.2,1.0223076923076924,True
