pair,version,season,week,game_id,team,opponent,moneyline
CO005+NFL-H017,RAW,2022,17,2022_17_CAR_TB,CAR,TB,164.0
CO005+NFL-H017,RAW,2009,12,2009_12_JAX_SF,JAX,SF,160.0
CO005+NFL-H017,RAW,2023,16,2023_16_NO_LA,NO,LA,180.0
CO017+NFL-H029,RAW,2023,17,2023_17_ATL_CHI,ATL,CHI,130.0
CO017+NFL-H029,RAW,2022,5,2022_05_CIN_BAL,CIN,BAL,151.0
CO017+NFL-H029,RAW,2018,9,2018_09_NYJ_MIA,NYJ,MIA,140.0
