method_id,feature,op,threshold,pre_score,confirmed_holdout,base_train_roi,train_risk_n,train_risk_win_pct,train_risk_roi,train_safe_roi,train_loss_lift,base_validation_roi,validation_risk_n,validation_risk_win_pct,validation_risk_roi,validation_safe_roi,validation_loss_lift,base_holdout_roi,holdout_risk_n,holdout_risk_win_pct,holdout_risk_roi,holdout_safe_roi,holdout_loss_lift,holdout_retained_share
RS001,rank_edge_rush_epa_per_carry,<=,-12.0,0.5334474012238425,False,0.2615,9,0.3333333333333333,-0.10666666666666666,0.3683870967741937,0.16666666666666674,0.30619047619047624,5,0.4,-0.006000000000000005,0.40375000000000005,0.12380952380952381,0.6759999999999999,5,0.8,1.002,0.5945,-0.12,0.8
RS001,recent_edge_giveaway_rate,>=,0.014599946836788872,0.7593006965711884,True,0.2615,14,0.35714285714285715,-0.09857142857142856,0.45538461538461544,0.1428571428571428,0.30619047619047624,6,0.3333333333333333,-0.19000000000000003,0.5046666666666666,0.19047619047619058,0.6759999999999999,5,0.6,0.396,0.746,0.08000000000000007,0.8
RS001,rank_edge_points_against,>=,1.1750000000000007,0.5938509878100041,True,0.2615,14,0.35714285714285715,-0.10571428571428566,0.4592307692307693,0.1428571428571428,0.30619047619047624,7,0.42857142857142855,0.0557142857142857,0.4314285714285714,0.09523809523809523,0.6759999999999999,10,0.6,0.511,0.7859999999999999,0.08000000000000007,0.6
RS001,recent_edge_point_margin,>=,3.566666666666668,0.7528664805140214,True,0.2615,14,0.35714285714285715,-0.14285714285714285,0.47923076923076924,0.1428571428571428,0.30619047619047624,8,0.375,-0.037500000000000006,0.5176923076923077,0.14880952380952384,0.6759999999999999,13,0.6153846153846154,0.5046153846153847,0.8616666666666667,0.06461538461538463,0.48
RS001,rank_edge_passing_cpoe,<=,-6.0,0.8682423887587821,True,0.2615,9,0.3333333333333333,-0.1466666666666667,0.3800000000000001,0.16666666666666674,0.30619047619047624,7,0.2857142857142857,-0.31000000000000005,0.6142857142857141,0.23809523809523814,0.6759999999999999,10,0.6,0.562,0.7520000000000001,0.08000000000000007,0.6
RS001,recent_edge_penalty_yards,>=,16.933333333333355,0.6505650370804059,True,0.2615,8,0.25,-0.41375,0.4303125,0.25,0.30619047619047624,7,0.42857142857142855,0.10857142857142857,0.4050000000000001,0.09523809523809523,0.6759999999999999,6,0.5,0.22166666666666668,0.8194736842105262,0.18000000000000005,0.76
RS001,rank_edge_off_epa,<=,-3.599999999999998,1.0379769711163154,False,0.2615,8,0.125,-0.6725,0.495,0.375,0.30619047619047624,6,0.3333333333333333,-0.19500000000000003,0.5066666666666667,0.19047619047619058,0.6759999999999999,11,0.8181818181818182,1.1181818181818182,0.3285714285714286,-0.13818181818181818,0.56
RS001,rank_edge_explosive_rate,>=,3.3500000000000014,0.6253735738305409,True,0.2615,14,0.35714285714285715,-0.14214285714285713,0.47884615384615387,0.1428571428571428,0.30619047619047624,5,0.4,-0.03599999999999994,0.41312499999999996,0.12380952380952381,0.6759999999999999,10,0.6,0.479,0.8073333333333333,0.08000000000000007,0.6
RS001,rank_edge_early_down_epa,>=,1.5,0.9791818891491023,True,0.2615,20,0.4,-0.023,0.546,0.09999999999999998,0.30619047619047624,9,0.3333333333333333,-0.19777777777777775,0.6841666666666667,0.19047619047619058,0.6759999999999999,12,0.5,0.20083333333333342,1.1146153846153848,0.18000000000000005,0.52
RS001,recent_edge_early_down_epa,>=,0.13403039710506148,1.0951984232217478,False,0.2615,8,0.125,-0.69875,0.5015625,0.375,0.30619047619047624,4,0.25,-0.4,0.47235294117647064,0.27380952380952384,0.6759999999999999,6,0.6666666666666666,0.6066666666666668,0.6978947368421053,0.01333333333333342,0.76
