method_id,source,name,n,wins,losses,win_pct,roi,units,train_n,train_win_pct,train_roi,validation_n,validation_win_pct,validation_roi,holdout_n,holdout_win_pct,holdout_roi,positive_season_ratio,positive_seasons,active_seasons,top_team,top_team_share,top3_team_share
RS001,TF001,Heavy-road schedule + pressure edge,86,48,38,0.5581395348837209,0.3929069767441861,33.790000000000006,40,0.5,0.2615,21,0.5238095238095238,0.30619047619047624,25,0.68,0.6759999999999999,0.85,17,20,GB,0.06976744186046512,0.19767441860465115
RS002,TF003,Run-heavy + punt-net edge,116,72,44,0.6206896551724138,0.5026724137931035,58.309999999999995,60,0.6166666666666667,0.5151666666666667,19,0.631578947368421,0.47894736842105273,37,0.6216216216216216,0.49459459459459454,0.75,15,20,BUF,0.07758620689655173,0.21551724137931036
RS003,TF012,Run-heavy + defensive YPP edge,182,104,78,0.5714285714285714,0.36934065934065935,67.22,79,0.5569620253164557,0.3832911392405063,39,0.5897435897435898,0.3364102564102564,64,0.578125,0.3721875,0.75,15,20,TEN,0.08791208791208792,0.23076923076923078
